0 11 10.0
0 14 6.0
0 40 7.0
0 44 8.0
0 53 5.0
0 54 8.0
0 58 7.0
0 94 10.0
0 100 9.0
0 108 8.0
0 112 7.0
0 149 9.0
0 215 3.0
0 222 7.0
0 223 9.0
0 235 7.0
0 241 7.0
0 245 6.0
0 249 9.0
0 264 9.0
1 10 8.0
1 32 10.0
1 41 8.0
1 56 9.0
1 64 10.0
1 97 9.0
1 133 8.0
1 137 8.0
1 150 10.0
1 153 10.0
1 159 8.0
1 168 9.0
1 169 9.0
1 171 8.0
1 172 8.0
1 178 8.0
1 187 8.0
1 228 8.0
1 232 8.0
1 240 8.0
2 8 9.0
2 27 8.0
2 81 9.0
2 102 8.0
2 122 9.0
2 154 9.0
2 167 8.0
2 175 9.0
2 178 9.0
2 179 9.0
2 184 9.0
2 187 10.0
2 189 7.0
2 197 10.0
2 199 9.0
2 216 9.0
2 221 9.0
2 224 8.0
2 233 9.0
2 272 9.0
3 19 8.0
3 23 6.0
3 24 7.0
3 39 7.0
3 46 5.0
3 61 6.0
3 76 6.0
3 110 5.0
3 132 6.0
3 141 4.0
3 164 6.0
3 186 6.0
3 197 9.0
3 211 5.0
3 212 9.0
3 213 4.0
3 225 8.0
3 251 5.0
3 257 5.0
3 273 6.0
4 31 10.0
4 50 10.0
4 55 10.0
4 57 10.0
4 67 10.0
4 75 10.0
4 128 10.0
4 130 10.0
4 135 10.0
4 151 10.0
4 152 10.0
4 156 10.0
4 170 10.0
4 181 10.0
4 208 10.0
4 209 10.0
4 238 10.0
4 247 10.0
4 248 10.0
4 252 10.0
5 5 8.0
5 10 9.0
5 25 10.0
5 32 10.0
5 85 10.0
5 105 8.0
5 120 10.0
5 136 10.0
5 139 8.0
5 142 10.0
5 166 8.0
5 167 9.0
5 177 10.0
5 180 7.0
5 185 8.0
5 187 10.0
5 205 10.0
5 240 10.0
5 260 10.0
5 265 9.0
6 42 10.0
6 99 10.0
6 123 9.0
6 134 10.0
6 214 10.0
7 33 6.0
7 41 9.0
7 42 6.0
7 43 10.0
7 69 9.0
7 72 10.0
7 77 9.0
7 97 10.0
7 104 7.0
7 107 5.0
7 114 9.0
7 118 9.0
7 150 10.0
7 162 9.0
7 169 10.0
7 175 10.0
7 187 9.0
7 224 9.0
7 237 10.0
7 276 1.0
8 18 8.0
8 25 8.0
8 63 8.0
8 64 10.0
8 68 8.0
8 83 9.0
8 121 8.0
8 133 9.0
8 157 8.0
8 174 8.0
8 184 9.0
8 187 8.0
8 190 8.0
8 193 9.0
8 224 9.0
8 235 9.0
8 236 8.0
8 266 8.0
8 268 8.0
8 274 8.0
9 8 9.0
9 26 9.0
9 34 7.0
9 70 10.0
9 71 7.0
9 93 7.0
9 131 7.0
9 134 10.0
9 143 9.0
9 158 9.0
9 169 10.0
9 175 10.0
9 178 10.0
9 187 10.0
9 188 6.0
9 200 9.0
9 205 10.0
9 232 10.0
9 255 7.0
9 260 10.0
10 12 10.0
10 13 8.0
10 22 6.0
10 36 8.0
10 38 5.0
10 51 10.0
10 87 4.0
10 91 10.0
10 125 10.0
10 129 6.0
10 162 8.0
10 191 10.0
10 193 10.0
